epoch,train_acc_ternary,train_acc_rel,train_acc_norel,test_acc_ternary,test_acc_rel,test_acc_norel
1,51.542494946091644,51.37508423180593,52.62487365229111,53.68589743589744,64.7636217948718,55.78926282051282
2,53.315574460916444,67.35175202156334,55.37188342318059,52.32371794871795,70.71314102564102,55.729166666666664
3,53.29872809973046,69.38173854447439,55.74882075471698,52.64423076923077,68.38942307692308,56.81089743589744
4,53.659871967654986,69.89871125336927,56.89858490566038,53.18509615384615,71.19391025641026,58.57371794871795
5,53.62407345013477,70.39041442048517,58.774848382749326,53.645833333333336,72.05528846153847,62.01923076923077
6,53.96415936657682,70.54097877358491,60.61004885444744,53.48557692307692,72.01522435897436,60.63701923076923
7,54.31477425876011,71.32854615902966,61.887213611859835,54.006410256410255,71.27403846153847,63.42147435897436
8,55.09707715633423,72.02661725067385,62.52316374663073,54.587339743589745,72.65625,62.37980769230769
9,55.572986859838274,72.77522742587601,62.574755727762806,54.767628205128204,73.17708333333333,64.04246794871794
10,55.66353605121294,73.28061826145553,62.90115397574124,54.70753205128205,72.47596153846153,64.52323717948718
11,55.97835242587601,73.46908692722371,62.852720687331534,54.56730769230769,73.89823717948718,64.20272435897436
12,56.087853773584904,73.7228352425876,63.127526954177895,54.92788461538461,73.91826923076923,64.52323717948718
13,56.15945080862534,73.99553571428571,63.544474393531,54.86778846153846,73.81810897435898,63.82211538461539
14,56.3552897574124,74.0429161051213,63.799275606469,55.24839743589744,74.05849358974359,64.62339743589743
15,56.57008086253369,74.31666947439354,64.12040936657682,55.12820512820513,73.95833333333333,65.02403846153847
16,56.57745114555256,74.45670485175202,66.3757159703504,54.70753205128205,74.61939102564102,68.22916666666667
17,56.642730795148246,74.49671495956873,70.05559299191374,55.4286858974359,74.77964743589743,70.37259615384616
18,56.771184299191376,74.86207041778975,71.66968497304582,55.14823717948718,74.77964743589743,71.81490384615384
19,56.75012634770889,75.2811236522911,75.71281165768194,55.26842948717949,55.5088141025641,79.66746794871794
20,56.55218160377358,78.27977594339623,91.3799275606469,48.73798076923077,37.219551282051285,83.93429487179488
